name,price,url
Подвесная люстра Bogates Vegas 299/5 Strotskis,32 300,/product/podvesnaja-ljustra-bogates-vegas-299-5-strotskis/
Подвесная люстра Maytoni Puntes MOD043PL-06CH,52 990,/product/podvesnaja-ljustra-maytoni-puntes-mod043pl-06ch/
Подвесная люстра Citilux Идальго CL434131,8 799,/product/podvesnaja-ljustra-citilux-idalgo-cl434131/
Подвесная люстра Maytoni Vintage ARM420-08-R,36 490,/product/elegant-20-arm420-08-r/
Подвесная люстра Escada Celine 466/8S,8 000,/product/podvesnaja-ljustra-escada-classic-466-8s/
Подвесная люстра Freya Herbert FR2012-PL-06-BZ,19 590,/product/podvesnaja-ljustra-freya-herbert-fr1012-06-r/
Подвесная люстра Lightstar Diafano 758084,34 606,/product/lightstar-758084-37544/
Подвесная люстра Arte Lamp Gemelli A2150SP-5WG,17 990,/product/podvesnaja-ljustra-arte-lamp-gemelli-a2150sp-5wg/
Подвесная люстра De Markt Бриз 111011004,,/product/podvesnaja-ljustra-de-markt-briz-111011004/
Подвесная люстра Maytoni Maryland ARM526PL-08GR,36 720,/product/maytoni-maryland-arm526pl-08gr/
Подвесная люстра Dio D'Arte Alessandria Gold Alessandria E 1.1.10.600 G,,/product/podvesnaja-ljustra-dio-darte-alessandria-alessandria-e-1110600-g/
Подвесная люстра Maytoni Vintage ARM420-05-R,27 390,/product/elegant-20-arm420-05-r/
Подвесная люстра Wertmark Edda WE514.01.713,19 645,/product/podvesnaja-ljustra-wertmark-edda-we51401713/
Подвесная люстра Freya Gisela FR2013PL-05G,17 990,/product/podvesnaja-ljustra-freya-gisela-fr2013pl-05g/
Подвесная люстра Lightstar Globo 815057,36 453,/product/podvesnaja-ljustra-light-star-globo-815057/
Подвесная люстра Arte Lamp Albus A7780SP-7AB,,/product/podvesnaja-ljustra-arte-lamp-albus-a7780sp-7ab/
Подвесная люстра Ambrella Original FA433,20 951,/product/podvesnaja-ljustra-ambrella-original-fa433/
Подвесная люстра Arte Lamp Vivien A2719SP-6GO,17 440,/product/podvesnaja-ljustra-arte-lamp-vivien-a2719sp-6go/
